"DateTime","Hagar Verð ","Hagar Magn"
"2014-08-08 18:00:00",41.55,839151
"2014-08-11 18:00:00",42,1039160
"2014-08-12 18:00:00",43.3,11961000
"2014-08-13 18:00:00",43,768000
"2014-08-14 18:00:00",43.25,500000
"2014-08-15 18:00:00",43.5,909735
"2014-08-18 18:00:00",43.5,51021
"2014-08-19 18:00:00",43.5,1000000
"2014-08-20 18:00:00",44.35,2286820
"2014-08-21 18:00:00",44.5,709326
"2014-08-22 18:00:00",45,3200758
"2014-08-25 18:00:00",44.4,2071864
"2014-08-26 18:00:00",44.4,2546000
"2014-08-27 18:00:00",44.6,6663145
"2014-08-28 18:00:00",44.75,236258
"2014-08-29 18:00:00",45,6450292
"2014-09-01 18:00:00",45.25,2366331
"2014-09-02 18:00:00",44.8,3710812
"2014-09-03 18:00:00",45,9069000
"2014-09-04 18:00:00",45.35,3390074
"2014-09-05 18:00:00",44.95,462500
"2014-09-08 18:00:00",45.25,1106760
"2014-09-09 18:00:00",45,1218806
"2014-09-10 18:00:00",45.4,639003
"2014-09-11 18:00:00",45,1636500
"2014-09-12 18:00:00",45.1,2550622
"2014-09-15 18:00:00",45.15,1243026
"2014-09-16 18:00:00",45.05,51439
"2014-09-17 18:00:00",45.1,678000
"2014-09-18 18:00:00",45.25,122075
"2014-09-19 18:00:00",45.25,0
"2014-09-22 18:00:00",45.1,173000
"2014-09-23 18:00:00",45.3,55981
"2014-09-24 18:00:00",44.85,27500
"2014-09-25 18:00:00",44.75,2034469
"2014-09-26 18:00:00",44.2,63516
"2014-09-29 18:00:00",44.2,32000
"2014-09-30 18:00:00",44.5,582909
"2014-10-01 18:00:00",44.4,42829
"2014-10-02 18:00:00",44.7,176246
"2014-10-03 18:00:00",44.5,819148
"2014-10-06 18:00:00",44.5,651085
"2014-10-07 18:00:00",45,302000
"2014-10-08 18:00:00",44.7,1443476
"2014-10-09 18:00:00",45,44000
"2014-10-10 18:00:00",45.3,3649637
"2014-10-13 18:00:00",45,2326500
"2014-10-14 18:00:00",45,1431141
"2014-10-15 18:00:00",45.15,642457
"2014-10-16 18:00:00",44.7,6986260
"2014-10-17 18:00:00",44.7,246500
"2014-10-20 18:00:00",44.7,0
"2014-10-21 18:00:00",44.8,1053600
"2014-10-22 18:00:00",45.1,1789309
"2014-10-23 18:00:00",46,4549835
"2014-10-24 18:00:00",44.1,4465000
"2014-10-27 18:00:00",42.7,4039489
"2014-10-28 18:00:00",42.2,1570951
"2014-10-29 18:00:00",42.5,2139968
"2014-10-30 18:00:00",42.55,1535000
"2014-10-31 18:00:00",42.2,2474000
"2014-11-03 18:00:00",42.15,3096840
"2014-11-04 18:00:00",42.05,4235478
"2014-11-05 18:00:00",42.05,5163477
"2014-11-06 18:00:00",41.75,1710000
"2014-11-07 18:00:00",42,2734016
"2014-11-10 18:00:00",42.2,1026200
