"DateTime","Reginn Verð ","Reginn Magn"
"2013-10-02 18:00:00",13.75,5610158
"2013-10-03 18:00:00",13.61,2010145
"2013-10-04 18:00:00",13.45,2695579
"2013-10-07 18:00:00",13.26,1000000
"2013-10-08 18:00:00",13.15,6916861
"2013-10-09 18:00:00",13.15,0
"2013-10-10 18:00:00",13.44,6537880
"2013-10-11 18:00:00",13.43,3491470
"2013-10-14 18:00:00",13.3,320263
"2013-10-15 18:00:00",13.3,197391
"2013-10-16 18:00:00",13.4,648691
"2013-10-17 18:00:00",13.4,0
"2013-10-18 18:00:00",13.31,243903
"2013-10-21 18:00:00",13.4,500000
"2013-10-22 18:00:00",13.48,1098797
"2013-10-23 18:00:00",13.58,4600000
"2013-10-24 18:00:00",13.75,3251818
"2013-10-25 18:00:00",13.78,220000
"2013-10-28 18:00:00",13.75,1407781
"2013-10-29 18:00:00",13.61,1285825
"2013-10-30 18:00:00",13.7,500000
"2013-10-31 18:00:00",13.75,618391
"2013-11-01 18:00:00",13.75,23069
"2013-11-04 18:00:00",13.75,553416
"2013-11-05 18:00:00",13.76,4252927
"2013-11-06 18:00:00",13.85,7100
"2013-11-07 18:00:00",13.7,2602449
"2013-11-08 18:00:00",13.7,0
"2013-11-11 18:00:00",13.65,560976
"2013-11-12 18:00:00",13.7,1140000
"2013-11-13 18:00:00",13.66,21007500
"2013-11-14 18:00:00",13.66,6743903
"2013-11-15 18:00:00",13.625,400000
"2013-11-18 18:00:00",13.92,7496022
"2013-11-19 18:00:00",13.8,516300
"2013-11-20 18:00:00",13.88,5500000
"2013-11-21 18:00:00",13.88,0
"2013-11-22 18:00:00",13.92,3060976
"2013-11-25 18:00:00",13.97,4000000
"2013-11-26 18:00:00",13.915,2381806
"2013-11-27 18:00:00",13.94,1880168
"2013-11-28 18:00:00",13.99,11047804
"2013-11-29 18:00:00",14.2,11277318
"2013-12-02 18:00:00",14.29,42000
"2013-12-03 18:00:00",14.2,123592
"2013-12-04 18:00:00",14.28,1070000
"2013-12-05 18:00:00",14.3,3273178
"2013-12-06 18:00:00",14.6,5648019
"2013-12-09 18:00:00",14.55,700000
"2013-12-10 18:00:00",14.61,500000
"2013-12-11 18:00:00",14.52,8354
"2013-12-12 18:00:00",14.1,5756288
"2013-12-13 18:00:00",14.3,1500000
"2013-12-16 18:00:00",14.28,1964121
"2013-12-17 18:00:00",14.2,4400000
"2013-12-18 18:00:00",14.2,0
"2013-12-19 18:00:00",14.21,5830402
"2013-12-20 18:00:00",14.99,10649695
"2013-12-23 18:00:00",14.95,1934000
"2013-12-27 18:00:00",15.1,3175000
"2013-12-30 18:00:00",15.55,21668868
"2014-01-02 18:00:00",15.8,3388395
"2014-01-03 18:00:00",15.7,3285887
"2014-01-06 18:00:00",15.7,93497267
"2014-01-07 18:00:00",15.75,2133855
"2014-01-08 18:00:00",15.675,10010000
"2014-01-09 18:00:00",15.675,0
"2014-01-10 18:00:00",15.65,5022150
"2014-01-13 18:00:00",15.75,128000
"2014-01-14 18:00:00",15.75,2124638
"2014-01-15 18:00:00",15.65,5277952
"2014-01-16 18:00:00",15.75,2137000
"2014-01-17 18:00:00",15.95,8717500
"2014-01-20 18:00:00",15.9,1510000
"2014-01-21 18:00:00",15.8,2933000
"2014-01-22 18:00:00",15.9,4642816
"2014-01-23 18:00:00",16,562000
"2014-01-24 18:00:00",16,717073
"2014-01-27 18:00:00",15.95,598709
"2014-01-28 18:00:00",15.875,12000000
"2014-01-29 18:00:00",15.875,0
"2014-01-30 18:00:00",15.85,1845783
"2014-01-31 18:00:00",15.9,2500000
"2014-02-03 18:00:00",15.9,0
"2014-02-04 18:00:00",15.9,673488
"2014-02-05 18:00:00",15.9,1024391
"2014-02-06 18:00:00",15.8,2797561
"2014-02-07 18:00:00",15.85,1150000
"2014-02-10 18:00:00",15.85,524392
"2014-02-11 18:00:00",15.85,0
"2014-02-12 18:00:00",16,2653125
"2014-02-13 18:00:00",15.98,13000000
"2014-02-14 18:00:00",16.05,1042372
"2014-02-17 18:00:00",16.05,12427880
"2014-02-18 18:00:00",16.4,14819195
"2014-02-19 18:00:00",16.35,4900000
"2014-02-20 18:00:00",16.35,3547805
"2014-02-21 18:00:00",16.35,655903
"2014-02-24 18:00:00",16.35,0
"2014-02-25 18:00:00",16.05,6592997
"2014-02-26 18:00:00",16.45,7387195
"2014-02-27 18:00:00",16.55,5012805
"2014-02-28 18:00:00",16.45,3693000
"2014-03-03 18:00:00",16.55,2657341
"2014-03-04 18:00:00",16.5,10931871
"2014-03-05 18:00:00",16.85,30306281
"2014-03-06 18:00:00",16.75,13589854
"2014-03-07 18:00:00",16.6,2592002
"2014-03-10 18:00:00",16.6,250000
"2014-03-11 18:00:00",16.5,2714620
"2014-03-12 18:00:00",16.35,480600
"2014-03-13 18:00:00",16.35,0
"2014-03-14 18:00:00",16.25,300000
"2014-03-17 18:00:00",16.35,33500000
"2014-03-18 18:00:00",16.5,1063809
"2014-03-19 18:00:00",16.425,5150000
"2014-03-20 18:00:00",16.4,1031000
"2014-03-21 18:00:00",16.5,60000
"2014-03-24 18:00:00",16.55,2000000
"2014-03-25 18:00:00",16.45,11529000
"2014-03-26 18:00:00",16.4,4159274
"2014-03-27 18:00:00",16.35,3020000
"2014-03-28 18:00:00",16.45,6663341
"2014-03-31 18:00:00",16.55,24499599
"2014-04-01 18:00:00",16.5,3498395
"2014-04-02 18:00:00",16.5,0
"2014-04-03 18:00:00",16.35,2007045
"2014-04-04 18:00:00",16.5,2500000
"2014-04-07 18:00:00",16.55,1400000
"2014-04-08 18:00:00",16.6,74878
"2014-04-09 18:00:00",16.65,7697165
"2014-04-10 18:00:00",16.7,2000000
"2014-04-11 18:00:00",16.6,1199047
"2014-04-14 18:00:00",16.55,2120000
"2014-04-15 18:00:00",16.4,2328719
"2014-04-16 18:00:00",16.15,9229886
"2014-04-22 18:00:00",16.2,2996362
"2014-04-23 18:00:00",16.3,2719513
"2014-04-25 18:00:00",16.45,632371
"2014-04-28 18:00:00",16.4,1055854
"2014-04-29 18:00:00",16.4,40300
"2014-04-30 18:00:00",16.45,6283055
"2014-05-02 18:00:00",16.45,2568293
"2014-05-05 18:00:00",16.5,2051581
"2014-05-06 18:00:00",16.55,1022241
"2014-05-07 18:00:00",16.5,550327
"2014-05-08 18:00:00",16.55,195199
"2014-05-09 18:00:00",16.45,1900000
"2014-05-12 18:00:00",16.4,429282
"2014-05-13 18:00:00",16.4,8946105
"2014-05-14 18:00:00",16.35,500000
"2014-05-15 18:00:00",16.3,1070000
"2014-05-16 18:00:00",16.5,1590670
"2014-05-19 18:00:00",16.4,1000000
"2014-05-20 18:00:00",16.4,2650000
"2014-05-21 18:00:00",16.25,5080403
"2014-05-22 18:00:00",16.2,1500000
"2014-05-23 18:00:00",16.3,42390
"2014-05-26 18:00:00",16.3,0
"2014-05-27 18:00:00",16.1,1300000
"2014-05-28 18:00:00",15.95,10557078
"2014-05-30 18:00:00",15.95,1812581
"2014-06-02 18:00:00",16.2,10031759
"2014-06-03 18:00:00",16.1,1333690
"2014-06-04 18:00:00",16.25,1060000
"2014-06-05 18:00:00",16.25,0
"2014-06-06 18:00:00",16.2,3000000
"2014-06-10 18:00:00",16.2,10664635
"2014-06-11 18:00:00",16.2,754950
"2014-06-12 18:00:00",16.3,3500000
"2014-06-13 18:00:00",16.4,10050000
"2014-06-16 18:00:00",16.4,0
"2014-06-18 18:00:00",16.1,2097786
"2014-06-19 18:00:00",16,6250000
"2014-06-20 18:00:00",15.95,541886
"2014-06-23 18:00:00",15.95,2500000
"2014-06-24 18:00:00",15.7,6512196
"2014-06-25 18:00:00",15.7,200000
"2014-06-26 18:00:00",15.7,0
"2014-06-27 18:00:00",15.7,900000
"2014-06-30 18:00:00",15.7,277927
"2014-07-01 18:00:00",15.7,9500
"2014-07-02 18:00:00",15.8,1500000
"2014-07-03 18:00:00",15.95,4487296
"2014-07-04 18:00:00",16,500000
"2014-07-07 18:00:00",16,2000000
"2014-07-08 18:00:00",16.05,1031300
"2014-07-09 18:00:00",15.9,6469
"2014-07-10 18:00:00",15.9,1000000
"2014-07-11 18:00:00",15.9,0
"2014-07-14 18:00:00",16,1500000
"2014-07-15 18:00:00",15.9,571486
"2014-07-16 18:00:00",16,30000
"2014-07-17 18:00:00",15.9,1000000
"2014-07-18 18:00:00",15.9,1012579
"2014-07-21 18:00:00",15.95,150000
"2014-07-22 18:00:00",15.8,1000000
"2014-07-23 18:00:00",15.8,920000
"2014-07-24 18:00:00",15.85,63291
"2014-07-25 18:00:00",16.1,11100000
"2014-07-28 18:00:00",15.95,17673
"2014-07-29 18:00:00",15.8,1036586
"2014-07-30 18:00:00",15.8,1029000
"2014-07-31 18:00:00",15.8,3879000
"2014-08-01 18:00:00",15.6,550000
"2014-08-05 18:00:00",15.6,1000000
"2014-08-06 18:00:00",15.55,81000
"2014-08-07 18:00:00",15.55,0
"2014-08-08 18:00:00",15.7,3020136
"2014-08-11 18:00:00",15.5,8800
"2014-08-12 18:00:00",15.5,500000
"2014-08-13 18:00:00",15.7,1269000
"2014-08-14 18:00:00",15.5,730000
"2014-08-15 18:00:00",15.5,1228
