"DateTime","Icelandair Group Verð ","Icelandair Group Magn"
"2008-05-05 18:00:00",21.8,105323
"2008-05-06 18:00:00",21.8,91650
"2008-05-07 18:00:00",21.8,75000
"2008-05-08 18:00:00",21.8,5105222
"2008-05-09 18:00:00",21.85,35000
"2008-05-12 18:00:00",21.85,0
"2008-05-13 18:00:00",21.7,160000
"2008-05-14 18:00:00",21.8,46111
"2008-05-15 18:00:00",21.55,1113111
"2008-05-16 18:00:00",20.85,3545000
"2008-05-19 18:00:00",20.85,469000
"2008-05-20 18:00:00",20.95,120000
"2008-05-21 18:00:00",21.1,682790
"2008-05-22 18:00:00",21.1,85111
"2008-05-23 18:00:00",20.9,100000
"2008-05-26 18:00:00",20.55,684371
"2008-05-27 18:00:00",20.5,15000
"2008-05-28 18:00:00",20.55,215000
"2008-05-29 18:00:00",20.55,0
"2008-05-30 18:00:00",20.6,541111
"2008-06-02 18:00:00",20.5,15347
"2008-06-03 18:00:00",19.1,3000000
"2008-06-04 18:00:00",18.9,1000000
"2008-06-05 18:00:00",18.95,60407
"2008-06-06 18:00:00",18.7,120742
"2008-06-09 18:00:00",17.8,2500000
"2008-06-10 18:00:00",17.55,60417
"2008-06-11 18:00:00",16.45,2032492
"2008-06-12 18:00:00",15,2500000
"2008-06-13 18:00:00",15.1,467111
"2008-06-16 18:00:00",14.7,1587954
"2008-06-17 18:00:00",14.7,0
"2008-06-18 18:00:00",14.7,0
"2008-06-19 18:00:00",14.73,1618704
"2008-06-20 18:00:00",15.25,2813411
"2008-06-23 18:00:00",15.5,8360719
"2008-06-24 18:00:00",15.8,2300000
"2008-06-25 18:00:00",16.05,50000
"2008-06-26 18:00:00",16.1,8079954
"2008-06-27 18:00:00",16.15,1105000
"2008-06-30 18:00:00",16.55,6451330
"2008-07-01 18:00:00",16.85,5874975
"2008-07-02 18:00:00",16.8,1039000
"2008-07-03 18:00:00",16.7,2067
"2008-07-04 18:00:00",16.7,1085003
"2008-07-07 18:00:00",16.7,0
"2008-07-08 18:00:00",16.65,112000
"2008-07-09 18:00:00",16.65,20000
"2008-07-10 18:00:00",16.6,0
"2008-07-11 18:00:00",16.45,1000000
"2008-07-14 18:00:00",16.45,1610064
"2008-07-15 18:00:00",16.45,5600
"2008-07-16 18:00:00",16.45,196077
"2008-07-17 18:00:00",16.55,1589610
"2008-07-18 18:00:00",16.7,500644
"2008-07-21 18:00:00",16.6,75000
"2008-07-22 18:00:00",16.8,1441468
"2008-07-23 18:00:00",17.05,1033000
"2008-07-24 18:00:00",17.05,0
"2008-07-25 18:00:00",17.05,57000
"2008-07-28 18:00:00",17.05,0
"2008-07-29 18:00:00",16.95,300000
"2008-07-30 18:00:00",17,0
"2008-07-31 18:00:00",17.2,1569527
"2008-08-01 18:00:00",17.15,55556
"2008-08-04 18:00:00",17.15,0
"2008-08-05 18:00:00",17.2,5000
"2008-08-06 18:00:00",17.2,500000
"2008-08-07 18:00:00",17.3,800
"2008-08-08 18:00:00",17.6,2000274
"2008-08-11 18:00:00",17.55,11111
"2008-08-12 18:00:00",17.55,55556
"2008-08-13 18:00:00",17.65,25567
"2008-08-14 18:00:00",17.65,0
"2008-08-15 18:00:00",17.7,511111
"2008-08-18 18:00:00",17.7,0
"2008-08-19 18:00:00",18.75,1015533
"2008-08-20 18:00:00",19.2,1525000
"2008-08-21 18:00:00",19.15,83348
"2008-08-22 18:00:00",19.7,585000
"2008-08-25 18:00:00",19.75,186672
"2008-08-26 18:00:00",19.85,553852
"2008-08-27 18:00:00",19.85,511111
"2008-08-28 18:00:00",20.1,1111728
"2008-08-29 18:00:00",20.1,200000
"2008-09-01 18:00:00",20.1,255895
"2008-09-02 18:00:00",20.3,509870
"2008-09-03 18:00:00",20.4,61111
"2008-09-04 18:00:00",20.4,94167
"2008-09-05 18:00:00",20.3,211
"2008-09-08 18:00:00",20.45,945641
"2008-09-09 18:00:00",20.35,65433
"2008-09-10 18:00:00",20.45,25727
"2008-09-11 18:00:00",20.45,301963
"2008-09-12 18:00:00",20.3,133277
"2008-09-15 18:00:00",20.25,16111
"2008-09-16 18:00:00",20.25,317148
"2008-09-17 18:00:00",20.3,924673
"2008-09-18 18:00:00",20.3,0
"2008-09-19 18:00:00",20.45,1527232
"2008-09-22 18:00:00",20.45,1580000
"2008-09-23 18:00:00",20.2,1598417
"2008-09-24 18:00:00",20.1,10000
"2008-09-25 18:00:00",20,52653
"2008-09-26 18:00:00",20.1,513015
"2008-09-29 18:00:00",19,1532622
"2008-09-30 18:00:00",18.75,1659198
"2008-10-01 18:00:00",18.2,2000000
"2008-10-02 18:00:00",17.5,2014111
"2008-10-03 18:00:00",16.9,1527000
"2008-10-06 18:00:00",16.05,1068431
"2008-10-07 18:00:00",15.95,140348
"2008-10-08 18:00:00",15.5,333800
"2008-10-09 18:00:00",15.5,0
"2008-10-10 18:00:00",15.5,0
"2008-10-13 18:00:00",15.5,0
"2008-10-14 18:00:00",15,422127
"2008-10-15 18:00:00",14.95,46600
"2008-10-16 18:00:00",14.7,135000
"2008-10-17 18:00:00",14.45,509465
"2008-10-20 18:00:00",14.2,529134
"2008-10-21 18:00:00",14.2,0
"2008-10-22 18:00:00",14.2,68986
"2008-10-23 18:00:00",13.8,525000
"2008-10-24 18:00:00",13.42,451694
"2008-10-27 18:00:00",13.37,15245
"2008-10-28 18:00:00",13.37,0
"2008-10-29 18:00:00",13.38,0
"2008-10-30 18:00:00",13.65,7581
"2008-10-31 18:00:00",13.6,11111
"2008-11-03 18:00:00",13.3,196610
"2008-11-04 18:00:00",13.3,11111
"2008-11-05 18:00:00",13.3,0
"2008-11-06 18:00:00",13.3,218000
"2008-11-07 18:00:00",13.3,0
"2008-11-10 18:00:00",13.3,0
"2008-11-11 18:00:00",13.3,26446
"2008-11-12 18:00:00",13.4,4000
"2008-11-13 18:00:00",13.52,7396
"2008-11-14 18:00:00",13.2,610822
"2008-11-17 18:00:00",13.2,6743
"2008-11-18 18:00:00",13.25,0
"2008-11-19 18:00:00",13.2,0
"2008-11-20 18:00:00",13.05,155555
"2008-11-21 18:00:00",13.1,0
"2008-11-24 18:00:00",13.1,11111
"2008-11-25 18:00:00",13.1,0
"2008-11-26 18:00:00",13.1,0
"2008-11-27 18:00:00",13.1,0
"2008-11-28 18:00:00",13.1,0
"2008-12-01 18:00:00",13.1,0
"2008-12-02 18:00:00",13.1,0
"2008-12-03 18:00:00",13.1,0
"2008-12-04 18:00:00",13.1,0
"2008-12-05 18:00:00",13.48,604465
"2008-12-08 18:00:00",13.25,75000
"2008-12-09 18:00:00",13.2,0
"2008-12-10 18:00:00",13.2,0
"2008-12-11 18:00:00",13.2,0
"2008-12-12 18:00:00",13.2,0
"2008-12-15 18:00:00",13.2,0
"2008-12-16 18:00:00",13.2,0
"2008-12-17 18:00:00",13.2,2790
"2008-12-18 18:00:00",13.25,2790
"2008-12-19 18:00:00",13.25,0
"2008-12-22 18:00:00",13.25,0
"2008-12-23 18:00:00",13.25,0
"2008-12-24 18:00:00",13.25,0
"2008-12-25 18:00:00",13.25,0
"2008-12-26 18:00:00",13.25,0
"2008-12-29 18:00:00",13.3,0
"2008-12-30 18:00:00",13.3,0
"2008-12-31 18:00:00",13.3,0
"2009-01-01 18:00:00",13.3,0
"2009-01-02 18:00:00",13.4,282407
"2009-01-05 18:00:00",13.4,0
"2009-01-06 18:00:00",13.4,20000
"2009-01-07 18:00:00",13.25,100000
"2009-01-08 18:00:00",13.25,0
"2009-01-09 18:00:00",13.25,11111
"2009-01-12 18:00:00",13.25,7407
"2009-01-13 18:00:00",13.25,0
"2009-01-14 18:00:00",13.25,0
"2009-01-15 18:00:00",13.25,0
"2009-01-16 18:00:00",13.25,67037
"2009-01-19 18:00:00",13.25,0
"2009-01-20 18:00:00",13.25,0
