"DateTime","N1 Verð ","N1 Magn"
"2016-01-08 18:00:00",50.3,3317552
"2016-01-11 18:00:00",50,1078140
"2016-01-12 18:00:00",49.95,137214
"2016-01-13 18:00:00",50,4356220
"2016-01-14 18:00:00",48.8,4509751
"2016-01-15 18:00:00",47.4,5504219
"2016-01-18 18:00:00",46.7,7462478
"2016-01-19 18:00:00",48.1,9757389
"2016-01-20 18:00:00",46.9,2379438
"2016-01-21 18:00:00",47.2,2792842
"2016-01-22 18:00:00",47.8,3516450
"2016-01-25 18:00:00",47.35,504557
"2016-01-26 18:00:00",46.8,2468085
"2016-01-27 18:00:00",46.35,16877
"2016-01-28 18:00:00",46.45,4021438
"2016-01-29 18:00:00",46.9,1362000
"2016-02-01 18:00:00",47.6,5376468
"2016-02-02 18:00:00",48.9,3606954
"2016-02-03 18:00:00",48.65,4219
"2016-02-04 18:00:00",49.8,13354900
"2016-02-05 18:00:00",51.4,6782158
"2016-02-08 18:00:00",51.2,6008438
"2016-02-09 18:00:00",51.7,3019219
"2016-02-10 18:00:00",52.75,5008456
"2016-02-11 18:00:00",52.8,559575
"2016-02-12 18:00:00",53.15,2470891
"2016-02-15 18:00:00",54,4665000
"2016-02-16 18:00:00",54.2,2482543
"2016-02-17 18:00:00",53.9,3731156
"2016-02-18 18:00:00",54.6,3655927
"2016-02-19 18:00:00",54.6,0
"2016-02-22 18:00:00",55.8,4038488
"2016-02-23 18:00:00",57.4,8594961
"2016-02-24 18:00:00",57.5,2128170
"2016-02-25 18:00:00",58.6,2662000
"2016-02-26 18:00:00",58.4,2808579
"2016-02-29 18:00:00",59.1,1717278
"2016-03-01 18:00:00",58.5,184099
"2016-03-02 18:00:00",59.3,39000
"2016-03-03 18:00:00",59.3,578723
"2016-03-04 18:00:00",58.7,520414
"2016-03-07 18:00:00",59,7731234
"2016-03-08 18:00:00",59.5,3650000
"2016-03-09 18:00:00",60,3200000
"2016-03-10 18:00:00",62.4,4139903
"2016-03-11 18:00:00",63,1227438
"2016-03-14 18:00:00",63.1,1280300
"2016-03-15 18:00:00",65,7142498
"2016-03-16 18:00:00",65.6,5422794
"2016-03-17 18:00:00",62,2332289
"2016-03-18 18:00:00",62,908403
"2016-03-21 18:00:00",62.3,51322
"2016-03-22 18:00:00",62.3,226735
"2016-03-23 18:00:00",61.5,12564
"2016-03-29 18:00:00",61.1,17772
"2016-03-30 18:00:00",62.15,1734219
"2016-03-31 18:00:00",62.4,260000
"2016-04-01 18:00:00",62.6,5587742
"2016-04-04 18:00:00",65,4013616
"2016-04-05 18:00:00",64.3,4836285
"2016-04-06 18:00:00",64.9,5470512
"2016-04-07 18:00:00",65,592938
"2016-04-08 18:00:00",64.9,2538001
"2016-04-11 18:00:00",65.5,77746
"2016-04-12 18:00:00",66,3017700
"2016-04-13 18:00:00",66.7,4124189
"2016-04-14 18:00:00",66.2,796727
"2016-04-15 18:00:00",66.75,1040710
"2016-04-18 18:00:00",67.1,1403749
"2016-04-19 18:00:00",67.5,732575
"2016-04-20 18:00:00",67.7,385831
"2016-04-22 18:00:00",67.7,212687
"2016-04-25 18:00:00",67.3,2604219
"2016-04-26 18:00:00",67.4,500000
"2016-04-27 18:00:00",68.2,2792194
"2016-04-28 18:00:00",68.9,5102657
"2016-04-29 18:00:00",68.2,2504661
"2016-05-02 18:00:00",66.4,3571566
"2016-05-03 18:00:00",69,5552413
"2016-05-04 18:00:00",68.3,5677247
"2016-05-06 18:00:00",68.2,2201000
"2016-05-09 18:00:00",67.9,25697
"2016-05-10 18:00:00",68.2,2011498
"2016-05-11 18:00:00",68.5,1252245
"2016-05-12 18:00:00",68,474108
"2016-05-13 18:00:00",67.95,133700
"2016-05-17 18:00:00",67.7,1011155
"2016-05-18 18:00:00",68,3684681
"2016-05-19 18:00:00",66.7,1704500
"2016-05-20 18:00:00",66.9,7620030
"2016-05-23 18:00:00",66.9,3276500
"2016-05-24 18:00:00",67,1004219
"2016-05-25 18:00:00",67.5,1066366
"2016-05-26 18:00:00",67.5,0
"2016-05-27 18:00:00",67,41441
"2016-05-30 18:00:00",67.3,3722719
"2016-05-31 18:00:00",67.2,27872
"2016-06-01 18:00:00",68.1,510102
"2016-06-02 18:00:00",68.5,1392190
"2016-06-03 18:00:00",68.5,0
"2016-06-06 18:00:00",66.9,4273881
"2016-06-07 18:00:00",67.5,3160119
"2016-06-08 18:00:00",67.8,5500000
"2016-06-09 18:00:00",68.7,5460295
"2016-06-10 18:00:00",70,11938486
"2016-06-13 18:00:00",69,341214
"2016-06-14 18:00:00",69,1265807
"2016-06-15 18:00:00",70,1508500
"2016-06-16 18:00:00",70,0
"2016-06-20 18:00:00",70.15,4507600
"2016-06-21 18:00:00",70.7,3942219
"2016-06-22 18:00:00",70,2506219
"2016-06-23 18:00:00",70.4,9606
"2016-06-24 18:00:00",69.5,2059376
"2016-06-27 18:00:00",67.5,1010932
"2016-06-28 18:00:00",68,57938
"2016-06-29 18:00:00",68,0
"2016-06-30 18:00:00",69.3,2893200
"2016-07-01 18:00:00",70.5,6867323
"2016-07-04 18:00:00",70.5,700000
"2016-07-05 18:00:00",70,40287
"2016-07-06 18:00:00",70.2,1258438
"2016-07-07 18:00:00",70.2,10000
"2016-07-08 18:00:00",70.4,1036946
"2016-07-11 18:00:00",71.5,858620
"2016-07-12 18:00:00",73.3,4274739
"2016-07-13 18:00:00",74.1,3763605
"2016-07-14 18:00:00",74.8,1796500
"2016-07-15 18:00:00",75,1670000
"2016-07-18 18:00:00",74,3319269
"2016-07-19 18:00:00",74.1,855669
"2016-07-20 18:00:00",74.1,0
"2016-07-21 18:00:00",73.5,4219
"2016-07-22 18:00:00",73.5,0
"2016-07-25 18:00:00",73.6,198438
"2016-07-26 18:00:00",74.1,502118
"2016-07-27 18:00:00",74.1,0
"2016-07-28 18:00:00",73.1,12650000
"2016-07-29 18:00:00",72.4,2567000
"2016-08-02 18:00:00",73,8329
"2016-08-03 18:00:00",73,3310500
