"DateTime","Eimskipafélag Íslands Verð ","Eimskipafélag Íslands Magn"
"2014-02-25 18:00:00",243,363764
"2014-02-26 18:00:00",243,53808
"2014-02-27 18:00:00",248,350000
"2014-02-28 18:00:00",234,1105503
"2014-03-03 18:00:00",232.5,5622
"2014-03-04 18:00:00",231,418750
"2014-03-05 18:00:00",228.5,599597
"2014-03-06 18:00:00",228,1340994
"2014-03-07 18:00:00",226,198912
"2014-03-10 18:00:00",226.5,58320
"2014-03-11 18:00:00",229,57200
"2014-03-12 18:00:00",229.5,83307
"2014-03-13 18:00:00",233,608000
"2014-03-14 18:00:00",232,39000
"2014-03-17 18:00:00",233.5,306077
"2014-03-18 18:00:00",232,250707
"2014-03-19 18:00:00",235,187108
"2014-03-20 18:00:00",234,10352
"2014-03-21 18:00:00",234.5,131000
"2014-03-24 18:00:00",234,4004
"2014-03-25 18:00:00",236.5,185808
"2014-03-26 18:00:00",236,1135031
"2014-03-27 18:00:00",234.5,20177
"2014-03-28 18:00:00",234.5,314879
"2014-03-31 18:00:00",235,49165
"2014-04-01 18:00:00",235,77500
"2014-04-02 18:00:00",239,311608
"2014-04-03 18:00:00",240.5,301800
"2014-04-04 18:00:00",243,338300
"2014-04-07 18:00:00",246,353911
"2014-04-08 18:00:00",244,13948
"2014-04-09 18:00:00",247.5,542531
"2014-04-10 18:00:00",245.5,1481
"2014-04-11 18:00:00",242,258451
"2014-04-14 18:00:00",242.5,108200
"2014-04-15 18:00:00",241,446640
"2014-04-16 18:00:00",242,67552
"2014-04-22 18:00:00",240,3845
"2014-04-23 18:00:00",244.5,55237
"2014-04-25 18:00:00",248,1633541
"2014-04-28 18:00:00",249,2400
"2014-04-29 18:00:00",246.5,11128
"2014-04-30 18:00:00",249.5,332792
"2014-05-02 18:00:00",251,322295
"2014-05-05 18:00:00",249,163966
"2014-05-06 18:00:00",249,852300
"2014-05-07 18:00:00",247,242121
"2014-05-08 18:00:00",245,209344
"2014-05-09 18:00:00",244,5200
"2014-05-12 18:00:00",243.5,10704
"2014-05-13 18:00:00",245.5,223759
"2014-05-14 18:00:00",243.5,7950
"2014-05-15 18:00:00",240,560000
"2014-05-16 18:00:00",241.5,534500
"2014-05-19 18:00:00",241.5,54839
"2014-05-20 18:00:00",240.5,50670
"2014-05-21 18:00:00",241,73404
"2014-05-22 18:00:00",242,252000
"2014-05-23 18:00:00",234,416442
"2014-05-26 18:00:00",230.5,556899
"2014-05-27 18:00:00",230,14639
"2014-05-28 18:00:00",230.5,270000
"2014-05-30 18:00:00",230,11410
"2014-06-02 18:00:00",232,494087
"2014-06-03 18:00:00",233,551442
"2014-06-04 18:00:00",235,136291
"2014-06-05 18:00:00",232,1000
"2014-06-06 18:00:00",232,53000
"2014-06-10 18:00:00",227.5,978124
"2014-06-11 18:00:00",226.5,330865
"2014-06-12 18:00:00",225.5,6250
"2014-06-13 18:00:00",228.5,823366
"2014-06-16 18:00:00",228.25,14919
"2014-06-18 18:00:00",228.5,114400
"2014-06-19 18:00:00",229.15,962000
"2014-06-20 18:00:00",230.5,600288
"2014-06-23 18:00:00",230.75,177773
"2014-06-24 18:00:00",230,752176
"2014-06-25 18:00:00",232,429599
"2014-06-26 18:00:00",230.5,23451
"2014-06-27 18:00:00",231,4751
"2014-06-30 18:00:00",229,908634
"2014-07-01 18:00:00",229.5,249721
"2014-07-02 18:00:00",230.75,358059
"2014-07-03 18:00:00",229.5,300
"2014-07-04 18:00:00",233.5,718647
"2014-07-07 18:00:00",234.5,53887
"2014-07-08 18:00:00",233.75,500000
"2014-07-09 18:00:00",231,2046
"2014-07-10 18:00:00",233,141206
"2014-07-11 18:00:00",233,100000
"2014-07-14 18:00:00",234,100000
"2014-07-15 18:00:00",230,750000
"2014-07-16 18:00:00",233,510782
"2014-07-17 18:00:00",232,302000
"2014-07-18 18:00:00",231,400000
"2014-07-21 18:00:00",229,38976
"2014-07-22 18:00:00",227,2733
"2014-07-23 18:00:00",227,0
"2014-07-24 18:00:00",230,196000
"2014-07-25 18:00:00",231,1004
"2014-07-28 18:00:00",229,59600
"2014-07-29 18:00:00",229,170000
"2014-07-30 18:00:00",229,0
"2014-07-31 18:00:00",229,500000
"2014-08-01 18:00:00",230,2200
"2014-08-05 18:00:00",230.5,4300
"2014-08-06 18:00:00",230.5,458501
"2014-08-07 18:00:00",228,365588
"2014-08-08 18:00:00",227,479719
"2014-08-11 18:00:00",228,158493
"2014-08-12 18:00:00",225.5,365000
"2014-08-13 18:00:00",226,2000
"2014-08-14 18:00:00",225.5,25188
"2014-08-15 18:00:00",224.5,227
"2014-08-18 18:00:00",225,640000
"2014-08-19 18:00:00",225,0
"2014-08-20 18:00:00",223,6240
"2014-08-21 18:00:00",225,2500
"2014-08-22 18:00:00",225,0
"2014-08-25 18:00:00",224.2,505887
"2014-08-26 18:00:00",222.5,502700
"2014-08-27 18:00:00",222.5,63581
"2014-08-28 18:00:00",224.5,24708
"2014-08-29 18:00:00",227,780000
"2014-09-01 18:00:00",226,38966
"2014-09-02 18:00:00",225,174000
"2014-09-03 18:00:00",221,1187504
"2014-09-04 18:00:00",222,105388
