"DateTime","Reitir fasteignafélag Verð ","Reitir fasteignafélag Magn"
"2016-09-30 18:00:00",90,1355775
"2016-10-03 18:00:00",91.7,5340049
"2016-10-04 18:00:00",93.5,5893874
"2016-10-05 18:00:00",94,7337000
"2016-10-06 18:00:00",94,2268648
"2016-10-07 18:00:00",94,511674
"2016-10-10 18:00:00",94.1,2731496
"2016-10-11 18:00:00",94.1,1390252
"2016-10-12 18:00:00",93.3,20437
"2016-10-13 18:00:00",93.2,555000
"2016-10-14 18:00:00",92.8,13500
"2016-10-17 18:00:00",92.7,1068048
"2016-10-18 18:00:00",92.1,143761
"2016-10-19 18:00:00",91.1,2331496
"2016-10-20 18:00:00",90.2,2258287
"2016-10-21 18:00:00",89.5,2754000
"2016-10-24 18:00:00",88.6,1300000
"2016-10-25 18:00:00",88.6,2335000
"2016-10-26 18:00:00",90.1,2329731
"2016-10-27 18:00:00",90.1,0
"2016-10-28 18:00:00",89.8,877837
"2016-10-31 18:00:00",91.3,2715077
"2016-11-01 18:00:00",92,1485350
"2016-11-02 18:00:00",92.2,1371375
"2016-11-03 18:00:00",91.4,2933682
"2016-11-04 18:00:00",92.3,2136739
"2016-11-07 18:00:00",91.1,200000
"2016-11-08 18:00:00",91.1,339500
"2016-11-09 18:00:00",91.3,133000
"2016-11-10 18:00:00",91.3,0
"2016-11-11 18:00:00",90.8,56744
"2016-11-14 18:00:00",91.25,1728709
"2016-11-15 18:00:00",90.85,1633011
"2016-11-16 18:00:00",90.2,101874
"2016-11-17 18:00:00",90.65,700000
"2016-11-18 18:00:00",90.9,603888
"2016-11-21 18:00:00",90.75,8175
"2016-11-22 18:00:00",90.2,394000
"2016-11-23 18:00:00",90.45,2701100
"2016-11-24 18:00:00",92,3847010
"2016-11-25 18:00:00",91.75,1400000
"2016-11-28 18:00:00",91.6,569986
"2016-11-29 18:00:00",91.6,0
"2016-11-30 18:00:00",91.6,1000000
"2016-12-01 18:00:00",91.8,1681574
"2016-12-02 18:00:00",90.1,582399
"2016-12-05 18:00:00",90.9,242723
